+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Função de otimização: 
Taxa de Cromossomo: 0.05
Taxa de Mutação: 0.5
Quantidade de Gerações: 100
Tamanho da População: 100
Tamanho do Cromossomo: 8
Taxa de elitismo: 10
+---------------------------------------------+
Geração, Fitness Total, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,-6685.108,-66.85108,-50.41172,-80.4882
1.0,-6753.0474,-67.53047,-50.41172,-80.4882
2.0,-6806.381,-68.06381,-50.41172,-80.4882
3.0,-6884.861,-68.84861,-50.41172,-80.4882
4.0,-6919.6953,-69.19695,-50.41172,-80.4882
5.0,-6957.5815,-69.57581,-50.41172,-80.4882
6.0,-6989.33,-69.8933,-50.41172,-80.4882
7.0,-7024.8394,-70.24839,-50.41172,-80.4882
8.0,-7064.0806,-70.64081,-50.41172,-80.4882
9.0,-7091.651,-70.91651,-50.32313,-80.4882
10.0,-7117.3184,-71.17319,-50.32313,-80.4882
11.0,-7135.785,-71.35785,-50.32313,-80.4882
12.0,-7200.7056,-72.00706,-50.32313,-80.4882
13.0,-7240.1084,-72.401085,-50.32313,-80.4882
14.0,-7275.4414,-72.75442,-50.32313,-80.4882
15.0,-7305.376,-73.05376,-50.32313,-80.4882
16.0,-7378.721,-73.78721,-50.32313,-80.4882
17.0,-7388.2476,-73.88248,-50.32313,-80.4882
18.0,-7407.74,-74.0774,-50.32313,-80.4882
19.0,-7426.7183,-74.26718,-50.32313,-80.4882
20.0,-7428.641,-74.28641,-50.32313,-80.4882
21.0,-7447.5503,-74.4755,-50.32313,-80.4882
22.0,-7444.203,-74.44203,-50.32313,-80.4882
23.0,-7472.1313,-74.72131,-50.32313,-80.4882
24.0,-7492.273,-74.92273,-50.32313,-80.4882
25.0,-7508.8735,-75.08874,-50.32313,-80.4882
26.0,-7506.3794,-75.0638,-50.32313,-80.4882
27.0,-7517.3066,-75.173065,-50.32313,-80.4882
28.0,-7513.2275,-75.13228,-50.32313,-80.4882
29.0,-7523.031,-75.23031,-50.32313,-80.4882
30.0,-7534.353,-75.34353,-50.32313,-80.4882
31.0,-7530.1177,-75.30118,-50.32313,-80.4882
32.0,-7538.3296,-75.38329,-50.32313,-80.4882
33.0,-7543.914,-75.43914,-50.32313,-80.4882
