+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Função de otimização: 
Taxa de Cromossomo: 0.25
Taxa de Mutação: 0.5
Quantidade de Gerações: 100
Tamanho da População: 100
Tamanho do Cromossomo: 10
Taxa de elitismo: 1
+---------------------------------------------+
Geração, Fitness Total, Fitness Médio, Fitness Máximo, Fitness Minimo
0.0,-5738.1963,-57.38196,-49.8424,-68.1424
1.0,-5750.6406,-57.506405,-49.76046,-68.636696
2.0,-5764.391,-57.64391,-49.76046,-68.636696
3.0,-5784.506,-57.84506,-49.76046,-68.636696
4.0,-5827.194,-58.27194,-49.76046,-69.66591
5.0,-5849.2803,-58.4928,-49.76046,-69.66591
6.0,-5864.248,-58.64248,-49.76046,-69.66591
7.0,-5871.7207,-58.71721,-49.76046,-69.66591
8.0,-5882.452,-58.82452,-49.76046,-69.67584
9.0,-5903.762,-59.03762,-49.76046,-69.67584
10.0,-5947.7607,-59.477608,-49.76046,-70.170135
11.0,-5983.4556,-59.834557,-49.76046,-70.170135
12.0,-5996.1626,-59.961624,-49.76046,-70.170135
13.0,-6016.0728,-60.16073,-49.76046,-70.66443
14.0,-6037.1494,-60.371494,-49.76046,-70.66443
15.0,-6067.091,-60.67091,-49.76046,-70.66443
16.0,-6097.32,-60.973198,-49.76046,-70.66443
17.0,-6127.524,-61.275238,-49.76046,-70.66443
18.0,-6141.9233,-61.419235,-49.76046,-70.66443
19.0,-6163.6245,-61.636246,-49.76046,-70.66443
20.0,-6195.413,-61.954132,-49.76046,-70.66443
21.0,-6209.9487,-62.099487,-49.76046,-70.66443
22.0,-6242.46,-62.4246,-49.76046,-70.66443
23.0,-6265.2104,-62.652103,-49.76046,-70.66443
24.0,-6286.904,-62.869038,-49.76046,-70.66443
25.0,-6294.413,-62.94413,-49.76046,-70.66443
26.0,-6316.514,-63.165142,-49.76046,-70.66443
27.0,-6322.6475,-63.226475,-49.76046,-70.66443
28.0,-6335.95,-63.3595,-49.76046,-70.66443
29.0,-6345.109,-63.451088,-49.76046,-70.66443
30.0,-6361.576,-63.61576,-49.76046,-70.66443
31.0,-6373.6616,-63.736618,-49.76046,-70.66443
32.0,-6385.4937,-63.854935,-49.76046,-70.66443
33.0,-6386.1816,-63.861816,-49.76046,-70.66443
34.0,-6390.8574,-63.908573,-49.76046,-70.66443
35.0,-6402.1353,-64.021355,-49.76046,-70.66443
36.0,-6408.116,-64.08116,-49.76046,-70.66443
37.0,-6431.0664,-64.31066,-49.76046,-70.66443
38.0,-6435.4404,-64.3544,-49.76046,-70.66443
39.0,-6445.8174,-64.458176,-49.76046,-70.66443
40.0,-6454.2266,-64.54227,-49.76046,-70.66443
41.0,-6465.6147,-64.65615,-49.76046,-70.66443
42.0,-6476.728,-64.76728,-49.76046,-70.66443
43.0,-6487.263,-64.872635,-49.76046,-70.66443
44.0,-6500.4175,-65.00417,-49.76046,-70.66443
45.0,-6524.573,-65.245735,-49.76046,-70.66443
46.0,-6535.5137,-65.35513,-49.76046,-70.66443
47.0,-6558.956,-65.58956,-49.76046,-70.66443
48.0,-6572.78,-65.7278,-49.76046,-70.66443
49.0,-6594.949,-65.94949,-49.76046,-70.66443
50.0,-6598.9917,-65.989914,-49.76046,-70.66443
51.0,-6610.678,-66.10678,-49.76046,-70.66443
52.0,-6625.627,-66.25627,-49.76046,-70.66443
53.0,-6631.47,-66.314705,-49.76046,-70.66443
54.0,-6631.961,-66.31961,-49.76046,-70.66443
55.0,-6632.834,-66.32834,-49.76046,-70.66443
56.0,-6634.3394,-66.34339,-49.76046,-70.66443
57.0,-6634.855,-66.34855,-49.76046,-70.66443
58.0,-6636.7236,-66.36723,-49.76046,-70.66443
